epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_f0_5,val_roc_auc,val_false_alarms_per_hour,val_best_threshold,lr,focal_gamma,swa_active
1,0.11326132750227338,0.11224536001682281,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.4980780452719575,0.0,0.55,0.0003,1.5,False
2,0.11288836953185853,0.11126215755939484,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.4960203832374335,0.0,0.55,0.0003,1.5,False
3,0.11198040488220397,0.1112097144126892,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.48215109651503635,0.0,0.55,0.0003,1.5,False
4,0.11125562943163372,0.11123965978622437,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.4583819617848225,0.0,0.55,0.0003,1.5,False
5,0.10829203256538936,0.11123857647180557,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.47168975952665293,0.0,0.55,0.0003,1.5,False
6,0.10088590887330827,0.11141628473997116,0.5302197802197802,0.48717565953750946,0.38095238095238093,0.08196721311475409,0.13490725126475547,0.22026431717937375,0.5268055857127347,13714.285714285714,0.55,0.0003,1.5,False
7,0.09435208106324786,0.12002415955066681,0.5732600732600732,0.5225409836065574,1.0,0.045081967213114756,0.08627450980392157,0.19097222222157506,0.5320608511562263,0.0,0.62,0.0003,1.5,False
8,0.08513105731634867,0.1370536729693413,0.5686813186813187,0.5185986863532732,0.7931034482758621,0.0471311475409836,0.08897485493230174,0.19039735099260163,0.5086716968841601,1265.934065934066,0.65,0.0003,1.5,False
9,0.08328924079736073,0.13135760873556138,0.6163003663003663,0.6053292259255239,0.5819477434679335,0.5020491803278688,0.5390539053905391,0.5639963167578768,0.5495331668657041,37134.06593406593,0.6,0.0003,1.5,False
10,0.0719594160715739,0.14527761936187744,0.5558608058608059,0.5048447508413852,0.5714285714285714,0.02459016393442623,0.047151277013752456,0.10489510489447845,0.5210889154272067,1898.901098901099,0.68,0.0003,1.5,False
11,0.06495667532795951,0.14895372986793518,0.5851648351648352,0.5645898925198133,0.5535168195718655,0.3709016393442623,0.4441717791411043,0.5038975501103692,0.5569733199435458,30804.395604395602,0.65,0.0003,1.5,False
12,0.061686777820189796,0.1345246322453022,0.6254578754578755,0.607704103788948,0.6125356125356125,0.4405737704918033,0.5125148986889154,0.5681818181808612,0.6105098523504505,28694.505494505494,0.5,0.0003,1.5,False
13,0.06044081580780801,0.12842210233211518,0.6117216117216118,0.5927288025187276,0.5941176470588235,0.4139344262295082,0.48792270531400966,0.546536796535825,0.6232663391597004,29116.483516483517,0.55,0.0003,1.5,False
14,0.05672801339200565,0.1411931574344635,0.5943223443223443,0.5854616762566496,0.550561797752809,0.5020491803278688,0.5251875669882101,0.5401234567892791,0.609865242644664,42197.80219780219,0.45,0.0003,1.5,False
15,0.05422578166638102,0.13344717845320703,0.6153846153846154,0.6165047226142655,0.5625,0.6270491803278688,0.5930232558139535,0.5743243243235763,0.6373290087938335,50215.38461538462,0.48,0.0003,1.5,False
16,0.05026864996623425,0.15557151511311532,0.5787545787545788,0.5473822060579742,0.5642201834862385,0.2520491803278688,0.34844192634560905,0.4522058823517908,0.6015701335359895,20043.956043956045,0.55,0.0003,1.5,False
17,0.05427083488376368,0.14496577233076097,0.6245421245421245,0.5907406904787754,0.7074468085106383,0.2725409836065574,0.39349112426035504,0.5362903225794519,0.6052579795896211,11604.395604395604,0.62,0.0003,1.5,False
