threshold,accuracy,balanced_accuracy,precision,recall,f1,f0_5,roc_auc,tn,fp,fn,tp,false_alarms_per_hour_window_level,processed_prob_mean,threshold_low,postprocess_smoothing,postprocess_hysteresis
0.1,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.5231788079470199,0,604,0,488,127437.36263736265,0.4725311315984542,0.020000000000000004,True,True
0.12,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.5231788079470199,0,604,0,488,127437.36263736265,0.4725311315984542,0.039999999999999994,True,True
0.15,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.5231788079470199,0,604,0,488,127437.36263736265,0.4725311315984542,0.06999999999999999,True,True
0.18,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.5231788079470199,0,604,0,488,127437.36263736265,0.4725311315984542,0.09999999999999999,True,True
0.2,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.5231788079470199,0,604,0,488,127437.36263736265,0.4725311315984542,0.12000000000000001,True,True
0.22,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.5231788079470199,0,604,0,488,127437.36263736265,0.4725311315984542,0.14,True,True
0.25,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.5231788079470199,0,604,0,488,127437.36263736265,0.4725311315984542,0.16999999999999998,True,True
0.28,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.5231788079470199,0,604,0,488,127437.36263736265,0.4725311315984542,0.2,True,True
0.3,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.5231788079470199,0,604,0,488,127437.36263736265,0.4725311315984542,0.21999999999999997,True,True
0.32,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.5231788079470199,0,604,0,488,127437.36263736265,0.4725311315984542,0.24,True,True
0.35,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.5231788079470199,0,604,0,488,127437.36263736265,0.4725311315984542,0.26999999999999996,True,True
0.38,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.5231788079470199,0,604,0,488,127437.36263736265,0.4725311315984542,0.3,True,True
0.4,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.5231788079470199,0,604,0,488,127437.36263736265,0.4725311315984542,0.32,True,True
0.43,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.5231788079470199,0,604,0,488,127437.36263736265,0.4725311315984542,0.35,True,True
0.45,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.5231788079470199,0,604,0,488,127437.36263736265,0.4725311315984542,0.37,True,True
0.48,0.5366300366300366,0.5811258278145696,0.4909456740442656,1.0,0.6585695006747638,0.5465949820783662,0.5231788079470199,98,506,0,488,106760.43956043957,0.4725311315984542,0.39999999999999997,True,True
0.5,0.5521978021978022,0.5951986754966887,0.49948822927328557,1.0,0.6662116040955631,0.5550500454954119,0.5231788079470199,115,489,0,488,103173.62637362638,0.4725311315984542,0.42,True,True
0.52,0.8003663003663004,0.7766393442622951,1.0,0.5532786885245902,0.712401055408971,0.8609693877540302,0.5231788079470199,604,0,218,270,0.0,0.4725311315984542,0.44,True,True
0.55,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.5231788079470199,604,0,488,0,0.0,0.4725311315984542,0.47000000000000003,True,True
0.58,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.5231788079470199,604,0,488,0,0.0,0.4725311315984542,0.49999999999999994,True,True
0.6,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.5231788079470199,604,0,488,0,0.0,0.4725311315984542,0.52,True,True
0.62,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.5231788079470199,604,0,488,0,0.0,0.4725311315984542,0.54,True,True
0.65,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.5231788079470199,604,0,488,0,0.0,0.4725311315984542,0.5700000000000001,True,True
0.68,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.5231788079470199,604,0,488,0,0.0,0.4725311315984542,0.6000000000000001,True,True
0.7,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.5231788079470199,604,0,488,0,0.0,0.4725311315984542,0.62,True,True
0.72,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.5231788079470199,604,0,488,0,0.0,0.4725311315984542,0.64,True,True
0.75,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.5231788079470199,604,0,488,0,0.0,0.4725311315984542,0.67,True,True
0.78,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.5231788079470199,604,0,488,0,0.0,0.4725311315984542,0.7000000000000001,True,True
0.8,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.5231788079470199,604,0,488,0,0.0,0.4725311315984542,0.7200000000000001,True,True
0.82,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.5231788079470199,604,0,488,0,0.0,0.4725311315984542,0.74,True,True
0.85,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.5231788079470199,604,0,488,0,0.0,0.4725311315984542,0.77,True,True
0.88,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.5231788079470199,604,0,488,0,0.0,0.4725311315984542,0.8,True,True
0.9,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.5231788079470199,604,0,488,0,0.0,0.4725311315984542,0.8200000000000001,True,True
