epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_f0_5,val_roc_auc,val_false_alarms_per_hour,val_best_threshold,lr,focal_gamma,swa_active
1,0.07828256062098912,0.0817859061062336,0.543040293040293,0.49384567365106935,0.36585365853658536,0.030737704918032786,0.05671077504725898,0.11503067484568442,0.45358470850070565,5485.714285714285,0.55,0.0003,2.0,False
2,0.0682106903266339,0.09799859076738357,0.4908424908424908,0.47479915318640753,0.4114583333333333,0.3237704918032787,0.3623853211009174,0.390316205532682,0.5030771631744653,47683.51648351648,0.55,0.0003,2.0,False
3,0.06081366166472435,0.09469797164201736,0.5311355311355311,0.495677722288568,0.4340659340659341,0.16188524590163936,0.23582089552238805,0.32483552631458823,0.5218488763435023,21731.86813186813,0.6,0.0003,2.0,False
4,0.050338824767441975,0.12737298011779785,0.4935897435897436,0.47708582130061883,0.41424802110817943,0.32172131147540983,0.3621683967704729,0.39171656686534645,0.5249803224405601,46839.56043956044,0.55,0.0003,2.0,False
5,0.04383517145400956,0.1176071286201477,0.5586080586080586,0.5087056237107805,0.59375,0.0389344262295082,0.07307692307692308,0.15422077921995614,0.5665881826077516,2742.8571428571427,0.75,0.0003,2.0,False
6,0.04179949304532437,0.1572365790605545,0.5604395604395604,0.5099677016610574,0.6538461538461539,0.03483606557377049,0.06614785992217899,0.143581081080357,0.5077353164694387,1898.901098901099,0.85,0.0003,2.0,False
7,0.036068739369511604,0.13477176427841187,0.5595238095238095,0.509336662685919,0.6206896551724138,0.036885245901639344,0.06963249516441006,0.14900662251578042,0.5170278742807514,2320.879120879121,0.8,0.0003,2.0,False
8,0.04115946049846354,0.12710586488246917,0.5586080586080586,0.5092959504939746,0.5789473684210527,0.045081967213114756,0.08365019011406843,0.17187499999909453,0.4911586689827381,3375.8241758241757,0.75,0.0003,2.0,False
9,0.034138846166786696,0.15545785129070283,0.5604395604395604,0.5123290087938335,0.58,0.05942622950819672,0.10780669144981413,0.2107558139524574,0.5459437086092715,4430.769230769231,0.82,0.0003,2.0,False
10,0.027369460534481777,0.170893806964159,0.5631868131868132,0.5203221691455868,0.5533980582524272,0.1168032786885246,0.19289340101522842,0.3166666666654257,0.5458080013027901,9705.494505494506,0.82,0.0003,2.0,False
11,0.01984535055678515,0.17083170562982558,0.5705128205128205,0.5196639887091521,0.9523809523809523,0.040983606557377046,0.07858546168958742,0.1748251748245484,0.5271821734882206,210.98901098901098,0.85,0.0003,2.0,False
12,0.02558735842328696,0.17182031124830247,0.5714285714285714,0.5378080555857128,0.5510204081632653,0.22131147540983606,0.3157894736842105,0.4245283018856101,0.5516569862121377,18567.032967032967,0.78,0.0003,2.0,False
13,0.026278231603403885,0.15187271311879158,0.5695970695970696,0.5229684616219737,0.640625,0.08401639344262295,0.14855072463768115,0.27553763440747364,0.5223509933774834,4852.747252747253,0.82,0.0003,2.0,False
14,0.02455979594517322,0.16005226969718933,0.5805860805860806,0.5346732168059929,0.7142857142857143,0.10245901639344263,0.17921146953405018,0.3255208333321751,0.5020593583758549,4219.78021978022,0.78,0.0003,2.0,False
15,0.021587214743097622,0.15822830349206923,0.5714285714285714,0.5248208663554446,0.65625,0.0860655737704918,0.15217391304347827,0.2822580645150006,0.5294450928237977,4641.758241758242,0.8,0.0003,2.0,False
16,0.03431658677401997,0.12766989767551423,0.5677655677655677,0.5274128759092389,0.5625,0.14754098360655737,0.23376623376623376,0.35999999999875076,0.5415026870046684,11815.384615384615,0.72,0.0003,2.0,False
17,0.01846918228658892,0.15303568542003632,0.5622710622710623,0.5139846379329063,0.6041666666666666,0.05942622950819672,0.10820895522388059,0.21323529411663386,0.541377157746173,4008.791208791209,0.82,0.0003,2.0,False
18,0.024720536677965095,0.17158377468585967,0.4816849816849817,0.4806888502876995,0.4275092936802974,0.4713114754098361,0.44834307992202727,0.43560606060530715,0.502754858321572,64984.61538461538,0.58,0.0003,2.0,False
19,0.025485327090358452,0.16086905300617219,0.5705128205128205,0.5357995874497883,0.5513513513513514,0.20901639344262296,0.3031203566121842,0.4153094462528744,0.5348258875257844,17512.08791208791,0.75,0.0003,2.0,False
20,0.011580156539345072,0.19883885979652405,0.5613553113553114,0.5092213114754098,1.0,0.018442622950819672,0.03621730382293763,0.08587786259509994,0.5299726549777439,0.0,0.9,0.0003,2.0,False
21,0.01761803132969709,0.17451314479112626,0.5879120879120879,0.5558571273477364,0.5904761904761905,0.2540983606557377,0.3553008595988539,0.466867469878356,0.5479012865052654,18145.054945054944,0.72,0.0003,2.0,False
22,0.018278114453312896,0.2132116049528122,0.5311355311355311,0.5314908804690044,0.47802197802197804,0.5348360655737705,0.504835589941973,0.4883982035920679,0.5312092878080555,60131.868131868134,0.55,0.0003,2.0,False
23,0.03324671495439751,0.1281363733112812,0.5659340659340659,0.5245765932037781,0.559322033898305,0.13524590163934427,0.21782178217821782,0.34374999999875033,0.5308801975898383,10971.42857142857,0.72,0.0003,2.0,False
24,0.02408542231257473,0.1562532439827919,0.5906593406593407,0.5766407013353598,0.5521628498727735,0.444672131147541,0.492622020431328,0.5266990291253097,0.5718638041472153,37134.06593406593,0.62,0.0003,2.0,False
25,0.02139783553069546,0.1659379094839096,0.5860805860805861,0.5673854630333297,0.5520231213872833,0.39139344262295084,0.4580335731414868,0.510149572648609,0.539219411573119,32703.296703296703,0.68,0.0003,2.0,False
26,0.027944367268078384,0.12959759458899497,0.5723443223443223,0.5305680707849311,0.5929203539823009,0.13729508196721313,0.22296173044925124,0.3563829787221561,0.5294688416024318,9705.494505494506,0.75,0.0003,2.0,False
