F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,eyeDetection,AF_PCA_Component
4013.85,4267.69,4124.62,4342.56,4589.74,4089.23,4616.41,4200.51,4232.82,4213.33,4281.03,4630.26,0,1.6575359779996623
4008.72,4259.49,4120.0,4341.03,4595.9,4092.82,4612.31,4199.49,4219.49,4198.46,4261.03,4611.79,0,0.5711281238941514
3994.87,4254.36,4116.41,4337.44,4596.41,4092.31,4609.74,4193.33,4211.79,4186.67,4252.82,4597.95,0,-0.24939626272880702
3994.36,4258.46,4118.97,4336.92,4594.36,4096.92,4614.36,4193.33,4209.74,4192.31,4260.51,4602.05,0,0.018085499063628097
4007.18,4268.21,4126.15,4344.62,4595.38,4102.05,4622.56,4205.13,4221.54,4205.13,4271.79,4614.36,0,1.3136215070254684
4021.03,4277.95,4134.36,4346.15,4591.28,4095.9,4620.0,4208.72,4235.38,4212.31,4280.51,4625.64,0,2.227980974957949
4024.62,4281.03,4144.1,4336.41,4591.28,4088.72,4616.41,4202.05,4233.33,4211.79,4274.87,4631.28,0,2.7454623640029308
4018.97,4276.41,4135.9,4341.54,4600.51,4099.49,4626.15,4211.28,4242.05,4216.41,4276.92,4632.82,0,2.43918728304262
4011.28,4268.72,4122.56,4334.36,4602.05,4100.51,4632.31,4222.56,4243.08,4221.03,4283.59,4630.26,0,1.7904264422610852
4005.64,4266.15,4124.62,4333.33,4601.03,4100.51,4632.31,4218.46,4240.0,4216.41,4278.46,4622.05,0,1.4854875918266324
4009.23,4270.26,4134.36,4344.1,4600.51,4099.49,4629.23,4209.23,4240.51,4213.33,4276.41,4621.54,0,1.6567776368571059
4010.26,4268.72,4129.74,4344.62,4602.05,4095.9,4629.74,4214.36,4236.41,4214.87,4282.05,4624.1,0,1.5236966625037303
4003.59,4264.62,4121.54,4333.85,4601.03,4094.87,4631.79,4215.38,4228.72,4208.21,4278.97,4612.82,0,0.8762574844205231
4002.56,4265.64,4123.08,4332.31,4592.31,4088.21,4619.49,4193.33,4221.03,4197.95,4268.72,4602.56,0,0.3797815127368814
4004.1,4263.59,4122.05,4342.05,4590.77,4082.05,4606.15,4176.92,4211.28,4194.36,4267.18,4602.05,0,0.3410027613965693
4003.59,4261.03,4126.15,4346.67,4598.97,4087.69,4612.82,4192.82,4208.72,4198.46,4274.36,4601.03,0,0.5326342128854463
4008.21,4268.72,4136.92,4342.56,4595.38,4091.28,4623.08,4207.69,4222.05,4206.15,4283.08,4607.69,0,1.0478469376101667
4021.03,4283.08,4141.03,4332.82,4599.49,4100.0,4630.26,4217.95,4248.21,4226.67,4291.79,4632.82,0,2.5730265985385525
4019.49,4281.54,4136.41,4327.69,4606.15,4109.74,4638.46,4218.97,4242.56,4228.21,4300.0,4636.41,0,2.2678972380121807
4010.26,4282.05,4129.74,4331.28,4606.67,4108.72,4628.72,4212.31,4233.85,4221.54,4300.0,4629.74,0,1.675791021509705
4005.64,4278.46,4133.33,4335.38,4606.15,4105.13,4628.21,4216.92,4237.44,4214.87,4291.28,4620.51,0,1.2946144814803457
4005.13,4269.23,4130.26,4334.36,4607.18,4103.08,4629.23,4211.28,4233.85,4205.64,4278.46,4612.31,0,0.7236016534714211
4000.51,4260.0,4121.54,4333.85,4602.05,4095.38,4612.82,4189.23,4222.05,4196.92,4269.74,4606.15,0,0.07531616311341183
3996.92,4253.85,4125.64,4337.95,4590.26,4086.15,4598.46,4179.49,4225.64,4195.38,4266.15,4607.18,0,0.17055902864086417
4001.54,4245.64,4120.0,4334.87,4595.9,4080.51,4592.82,4178.46,4214.87,4191.79,4257.95,4605.64,0,-0.6889409785218352
4000.0,4244.62,4118.97,4334.36,4600.51,4081.03,4597.95,4183.08,4204.62,4188.21,4260.51,4603.08,0,-0.5163229116855573
4005.64,4251.28,4134.87,4345.13,4606.15,4088.21,4617.95,4207.18,4216.92,4192.31,4269.74,4603.59,0,0.2851944493922783
4013.85,4260.0,4140.51,4349.74,4612.82,4091.79,4625.64,4214.87,4231.79,4196.92,4271.28,4603.59,0,0.2848152788209493
4015.38,4262.56,4137.44,4347.18,4614.87,4090.26,4620.0,4210.77,4233.85,4196.92,4268.21,4605.64,0,0.24547505553750984
4016.41,4267.69,4138.46,4348.72,4615.9,4093.85,4625.13,4220.0,4233.85,4200.51,4275.38,4614.36,0,0.9139050831544936
4021.54,4277.44,4141.54,4348.72,4612.31,4099.49,4632.82,4224.1,4244.1,4214.36,4288.72,4629.74,0,1.58159133745645
4021.54,4281.54,4140.51,4347.69,4606.67,4095.38,4625.13,4206.67,4252.82,4222.56,4294.36,4640.0,0,1.8862389884517519
4011.28,4278.46,4136.41,4345.13,4608.72,4090.26,4611.79,4190.26,4241.54,4214.87,4289.74,4632.82,0,1.6948044061623377
4002.56,4271.79,4134.36,4335.38,4609.74,4093.85,4607.18,4189.74,4222.05,4205.13,4282.56,4622.05,0,1.276644278301944
4009.23,4271.28,4137.44,4334.87,4604.62,4097.95,4613.85,4201.54,4224.62,4206.67,4283.59,4626.67,0,1.3718871438293965
4018.46,4277.44,4142.05,4346.15,4606.15,4096.92,4622.05,4213.85,4240.0,4217.44,4288.72,4636.41,0,1.6567776368571059
4013.33,4279.49,4138.97,4346.15,4608.21,4094.87,4623.59,4213.85,4243.59,4221.54,4290.77,4635.38,0,1.389959885967573
4002.56,4277.44,4135.38,4339.49,4602.05,4094.36,4625.13,4208.72,4237.44,4216.41,4288.72,4628.21,0,0.9133436112112986
4001.03,4274.36,4135.38,4341.03,4600.0,4088.72,4628.72,4210.77,4236.41,4209.74,4284.1,4623.08,0,0.8557337765902198
4009.74,4268.72,4136.92,4343.59,4608.21,4083.08,4625.64,4213.33,4241.54,4210.26,4282.05,4624.62,0,1.0284461736661858
4021.54,4267.18,4140.51,4347.18,4613.33,4089.23,4621.03,4209.74,4238.46,4213.85,4282.05,4625.13,0,1.0103879993555724
4016.92,4268.72,4142.05,4350.77,4609.23,4097.44,4620.51,4203.59,4226.67,4206.15,4277.44,4616.41,0,0.40002858895563065
